trial_path,operator_id,session_id,trial_id,planned_trial_id,attempt_no,verified_label,trial_status,intensity_instruction,speed_instruction,direction_instruction,position_instruction,sampling_rate_observed_hz,frame_count,duration_ms,quality_flags
operator_01/session_01/trial_000001_attempt_03,operator_01,session_01,trial_000001_attempt_03,trial_000001,3,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,52.961847,742,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000002,operator_01,session_01,trial_000002,trial_000002,1,POKE,VALID,LIGHT,,,TOP,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000003,operator_01,session_01,trial_000003,trial_000003,1,TAP,VALID,LIGHT,,,CENTER,52.961847,743,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000004,operator_01,session_01,trial_000004,trial_000004,1,IMPACT,VALID,NORMAL,,,CENTER,52.710843,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000005,operator_01,session_01,trial_000005,trial_000005,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.948557,748,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000006,operator_01,session_01,trial_000006,trial_000006,1,TAP,VALID,NORMAL,,,TOP_LEFT,52.948557,745,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000007,operator_01,session_01,trial_000007,trial_000007,1,STROKE,VALID,NORMAL,MEDIUM,RIGHT_TO_LEFT,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000008_attempt_02,operator_01,session_01,trial_000008_attempt_02,trial_000008,2,PAT,VALID,LIGHT,SLOW,,CENTER,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000009,operator_01,session_01,trial_000009,trial_000009,1,POKE,VALID,NORMAL,,,CENTER,53.212851,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000010,operator_01,session_01,trial_000010,trial_000010,1,TAP,VALID,FIRM,,,BOTTOM_RIGHT,52.961847,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000011,operator_01,session_01,trial_000011,trial_000011,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,52.961847,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000012_attempt_02,operator_01,session_01,trial_000012_attempt_02,trial_000012,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.961847,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000013,operator_01,session_01,trial_000013,trial_000013,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000014,operator_01,session_01,trial_000014,trial_000014,1,IMPACT,VALID,FIRM,,,CENTER,52.961847,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000015_attempt_02,operator_01,session_01,trial_000015_attempt_02,trial_000015,2,PAT,VALID,FIRM,FAST,,CENTER,53.199498,743,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000016,operator_01,session_01,trial_000016,trial_000016,1,STROKE,VALID,LIGHT,FAST,TOP_TO_BOTTOM,CENTER,52.961847,743,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000017_attempt_02,operator_01,session_01,trial_000017_attempt_02,trial_000017,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.948557,741,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000018_attempt_02,operator_01,session_01,trial_000018_attempt_02,trial_000018,2,RUB,VALID,FIRM,FAST,HORIZONTAL,CENTER,53.199498,741,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000019,operator_01,session_01,trial_000019,trial_000019,1,STATIC_TOUCH,VALID,FIRM,SLOW,,CENTER,52.948557,745,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000020,operator_01,session_01,trial_000020,trial_000020,1,STROKE,VALID,LIGHT,MEDIUM,BOTTOM_TO_TOP,CENTER,52.710843,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000021,operator_01,session_01,trial_000021,trial_000021,1,TAP,VALID,LIGHT,,,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000022_attempt_02,operator_01,session_01,trial_000022_attempt_02,trial_000022,2,PAT,VALID,LIGHT,SLOW,,CENTER,52.948557,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000023,operator_01,session_01,trial_000023,trial_000023,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,53.199498,749,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000024,operator_01,session_01,trial_000024,trial_000024,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,52.710843,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000025,operator_01,session_01,trial_000025,trial_000025,1,IMPACT,VALID,NORMAL,,,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000026_attempt_02,operator_01,session_01,trial_000026_attempt_02,trial_000026,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,53.212851,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000027,operator_01,session_01,trial_000027,trial_000027,1,POKE,VALID,FIRM,,,BOTTOM,52.697616,743,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000028_attempt_02,operator_01,session_01,trial_000028_attempt_02,trial_000028,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.710843,742,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000029,operator_01,session_01,trial_000029,trial_000029,1,POKE,VALID,LIGHT,,,TOP,52.948557,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000030,operator_01,session_01,trial_000030,trial_000030,1,POKE,VALID,NORMAL,,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000031,operator_01,session_01,trial_000031,trial_000031,1,IMPACT,VALID,FIRM,,,CENTER,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000032,operator_01,session_01,trial_000032,trial_000032,1,IMPACT,VALID,NORMAL,,,CENTER,52.948557,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000033,operator_01,session_01,trial_000033,trial_000033,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000034_attempt_02,operator_01,session_01,trial_000034_attempt_02,trial_000034,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.948557,741,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_01/trial_000035,operator_01,session_01,trial_000035,trial_000035,1,TAP,VALID,NORMAL,,,TOP_LEFT,52.961847,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000001,operator_01,session_02,trial_000001,trial_000001,1,IMPACT,VALID,NORMAL,,,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000002,operator_01,session_02,trial_000002,trial_000002,1,TAP,VALID,LIGHT,,,CENTER,53.212851,742,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000003,operator_01,session_02,trial_000003,trial_000003,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,52.948557,750,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000004,operator_01,session_02,trial_000004,trial_000004,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000005,operator_01,session_02,trial_000005,trial_000005,1,IMPACT,VALID,FIRM,,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000006,operator_01,session_02,trial_000006,trial_000006,1,IMPACT,VALID,NORMAL,,,CENTER,52.961847,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000007_attempt_02,operator_01,session_02,trial_000007_attempt_02,trial_000007,2,PAT,VALID,LIGHT,SLOW,,CENTER,52.961847,736,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000008_attempt_02,operator_01,session_02,trial_000008_attempt_02,trial_000008,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.948557,745,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000009_attempt_02,operator_01,session_02,trial_000009_attempt_02,trial_000009,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,52.710843,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000010,operator_01,session_02,trial_000010,trial_000010,1,POKE,VALID,LIGHT,,,TOP,52.948557,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000011_attempt_02,operator_01,session_02,trial_000011_attempt_02,trial_000011,2,PAT,VALID,FIRM,FAST,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000012,operator_01,session_02,trial_000012,trial_000012,1,STROKE,VALID,NORMAL,MEDIUM,RIGHT_TO_LEFT,CENTER,52.961847,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000013_attempt_02,operator_01,session_02,trial_000013_attempt_02,trial_000013,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.961847,743,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000014,operator_01,session_02,trial_000014,trial_000014,1,TAP,VALID,NORMAL,,,TOP_LEFT,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000015,operator_01,session_02,trial_000015,trial_000015,1,POKE,VALID,NORMAL,,,CENTER,52.948557,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000016,operator_01,session_02,trial_000016,trial_000016,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,52.961847,749,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000017,operator_01,session_02,trial_000017,trial_000017,1,STROKE,VALID,LIGHT,FAST,TOP_TO_BOTTOM,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000018_attempt_02,operator_01,session_02,trial_000018_attempt_02,trial_000018,2,PAT,VALID,LIGHT,SLOW,,CENTER,52.961847,740,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000019,operator_01,session_02,trial_000019,trial_000019,1,TAP,VALID,FIRM,,,BOTTOM_RIGHT,52.961847,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000020,operator_01,session_02,trial_000020,trial_000020,1,POKE,VALID,FIRM,,,BOTTOM,52.948557,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000021,operator_01,session_02,trial_000021,trial_000021,1,STATIC_TOUCH,VALID,FIRM,SLOW,,CENTER,53.212851,749,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000022,operator_01,session_02,trial_000022,trial_000022,1,IMPACT,VALID,FIRM,,,CENTER,52.697616,741,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000023_attempt_02,operator_01,session_02,trial_000023_attempt_02,trial_000023,2,RUB,VALID,FIRM,FAST,HORIZONTAL,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000024,operator_01,session_02,trial_000024,trial_000024,1,POKE,VALID,LIGHT,,,TOP,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000025,operator_01,session_02,trial_000025,trial_000025,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,52.948557,741,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000026_attempt_02,operator_01,session_02,trial_000026_attempt_02,trial_000026,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000027,operator_01,session_02,trial_000027,trial_000027,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,52.697616,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000028,operator_01,session_02,trial_000028,trial_000028,1,TAP,VALID,LIGHT,,,CENTER,52.697616,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000029,operator_01,session_02,trial_000029,trial_000029,1,IMPACT,VALID,NORMAL,,,CENTER,52.961847,743,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000030,operator_01,session_02,trial_000030,trial_000030,1,TAP,VALID,NORMAL,,,TOP_LEFT,53.199498,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000031,operator_01,session_02,trial_000031,trial_000031,1,STROKE,VALID,LIGHT,MEDIUM,BOTTOM_TO_TOP,CENTER,52.948557,735,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000032_attempt_02,operator_01,session_02,trial_000032_attempt_02,trial_000032,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000033,operator_01,session_02,trial_000033,trial_000033,1,POKE,VALID,NORMAL,,,CENTER,52.961847,735,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000034,operator_01,session_02,trial_000034,trial_000034,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.961847,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_02/trial_000035_attempt_02,operator_01,session_02,trial_000035_attempt_02,trial_000035,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.961847,743,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
