gesture,intensity,speed,direction,position,contact_style,pulse_count,notes
TAP,LIGHT,,,CENTER,FINGERTIP,,single contact
TAP,NORMAL,,,TOP_LEFT,FINGERTIP,,single contact
TAP,FIRM,,,BOTTOM_RIGHT,FINGERTIP,,single contact
POKE,LIGHT,,,TOP,FINGERTIP,,clear inward pressure
POKE,NORMAL,,,CENTER,FINGERTIP,,clear inward pressure
POKE,FIRM,,,BOTTOM,FINGERTIP,,clear inward pressure
STATIC_TOUCH,LIGHT,SLOW,,CENTER,FINGERTIP,,short duration
STATIC_TOUCH,NORMAL,MEDIUM,,CENTER,PALM,,medium duration
STATIC_TOUCH,FIRM,SLOW,,CENTER,PALM,,long duration
STROKE,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,FINGERTIP,,long path
STROKE,NORMAL,MEDIUM,RIGHT_TO_LEFT,CENTER,FINGERTIP,,medium path
STROKE,LIGHT,FAST,TOP_TO_BOTTOM,CENTER,FINGERTIP,,short path
STROKE,LIGHT,MEDIUM,BOTTOM_TO_TOP,CENTER,FINGERTIP,,medium path
RUB,NORMAL,SLOW,HORIZONTAL,CENTER,FINGERTIP,1,one return cycle
RUB,NORMAL,MEDIUM,VERTICAL,CENTER,FINGERTIP,2,two return cycles
RUB,FIRM,FAST,HORIZONTAL,CENTER,PALM,3,three return cycles
PAT,LIGHT,SLOW,,CENTER,PALM,2,nearby pulses
PAT,NORMAL,MEDIUM,,CENTER,PALM,3,nearby pulses
PAT,FIRM,FAST,,CENTER,PALM,4,nearby pulses
IMPACT,NORMAL,,,CENTER,BROAD,,single safe impact
IMPACT,FIRM,,,CENTER,FOCUSED,,single safe impact
