operator_id,session_id,planned_trial_id,minimum_attempt_no,reason
operator_01,session_01,trial_000001,3,pulse_count protocol misunderstood
operator_01,session_01,trial_000008,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000012,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000015,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000017,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000018,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000022,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000026,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000028,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000034,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000007,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000008,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000009,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000011,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000013,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000018,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000023,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000026,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000032,2,pulse_count protocol misunderstood
operator_01,session_02,trial_000035,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000002,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000003,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000006,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000012,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000015,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000018,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000019,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000025,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000028,2,pulse_count protocol misunderstood
operator_01,session_03,trial_000035,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000004,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000012,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000016,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000017,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000018,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000020,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000022,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000028,2,pulse_count protocol misunderstood
operator_02,session_01,trial_000029,2,pulse_count protocol misunderstood
operator_01,session_01,trial_000010,2,TAP duration high-risk under ambiguous TAP-POKE protocol
operator_01,session_01,trial_000021,2,TAP duration high-risk under ambiguous TAP-POKE protocol
operator_01,session_03,trial_000016,2,POKE duration high-risk under ambiguous TAP-POKE protocol
operator_01,session_03,trial_000031,2,TAP duration high-risk under ambiguous TAP-POKE protocol
operator_01,session_03,trial_000034,2,POKE duration high-risk under ambiguous TAP-POKE protocol
operator_02,session_02,trial_000032,2,TAP duration high-risk under ambiguous TAP-POKE protocol
operator_02,session_02,trial_000034,2,POKE duration high-risk under ambiguous TAP-POKE protocol
operator_03,session_01,trial_000014,2,TAP duration high-risk under ambiguous TAP-POKE protocol
operator_03,session_02,trial_000015,2,POKE duration high-risk under ambiguous TAP-POKE protocol
