sequence,trial_id,operator_id,session_id,seed,instruction_label,intensity,speed,direction,position,contact_style,pulse_count,notes
1,trial_000001,operator_03,session_01,20261021,PAT,LIGHT,SLOW,,CENTER,PALM,2,nearby pulses
2,trial_000002,operator_03,session_01,20261021,POKE,LIGHT,,,TOP,FINGERTIP,,clear inward pressure
3,trial_000003,operator_03,session_01,20261021,PAT,NORMAL,MEDIUM,,CENTER,PALM,3,nearby pulses
4,trial_000004,operator_03,session_01,20261021,STATIC_TOUCH,LIGHT,SLOW,,CENTER,FINGERTIP,,short duration
5,trial_000005,operator_03,session_01,20261021,STROKE,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,FINGERTIP,,long path
6,trial_000006,operator_03,session_01,20261021,RUB,NORMAL,SLOW,HORIZONTAL,CENTER,FINGERTIP,1,one return cycle
7,trial_000007,operator_03,session_01,20261021,STATIC_TOUCH,NORMAL,MEDIUM,,CENTER,PALM,,medium duration
8,trial_000008,operator_03,session_01,20261021,POKE,NORMAL,,,CENTER,FINGERTIP,,clear inward pressure
9,trial_000009,operator_03,session_01,20261021,RUB,NORMAL,MEDIUM,VERTICAL,CENTER,FINGERTIP,2,two return cycles
10,trial_000010,operator_03,session_01,20261021,TAP,LIGHT,,,CENTER,FINGERTIP,,single contact
11,trial_000011,operator_03,session_01,20261021,TAP,NORMAL,,,TOP_LEFT,FINGERTIP,,single contact
12,trial_000012,operator_03,session_01,20261021,IMPACT,NORMAL,,,CENTER,BROAD,,single safe impact
13,trial_000013,operator_03,session_01,20261021,POKE,FIRM,,,BOTTOM,FINGERTIP,,clear inward pressure
14,trial_000014,operator_03,session_01,20261021,TAP,FIRM,,,BOTTOM_RIGHT,FINGERTIP,,single contact
15,trial_000015,operator_03,session_01,20261021,POKE,LIGHT,,,TOP,FINGERTIP,,clear inward pressure
16,trial_000016,operator_03,session_01,20261021,RUB,FIRM,FAST,HORIZONTAL,CENTER,PALM,3,three return cycles
17,trial_000017,operator_03,session_01,20261021,STATIC_TOUCH,FIRM,SLOW,,CENTER,PALM,,long duration
18,trial_000018,operator_03,session_01,20261021,STATIC_TOUCH,LIGHT,SLOW,,CENTER,FINGERTIP,,short duration
19,trial_000019,operator_03,session_01,20261021,IMPACT,FIRM,,,CENTER,FOCUSED,,single safe impact
20,trial_000020,operator_03,session_01,20261021,STROKE,NORMAL,MEDIUM,RIGHT_TO_LEFT,CENTER,FINGERTIP,,medium path
21,trial_000021,operator_03,session_01,20261021,PAT,FIRM,FAST,,CENTER,PALM,4,nearby pulses
22,trial_000022,operator_03,session_01,20261021,IMPACT,NORMAL,,,CENTER,BROAD,,single safe impact
23,trial_000023,operator_03,session_01,20261021,PAT,LIGHT,SLOW,,CENTER,PALM,2,nearby pulses
24,trial_000024,operator_03,session_01,20261021,RUB,NORMAL,SLOW,HORIZONTAL,CENTER,FINGERTIP,1,one return cycle
25,trial_000025,operator_03,session_01,20261021,TAP,LIGHT,,,CENTER,FINGERTIP,,single contact
26,trial_000026,operator_03,session_01,20261021,STROKE,LIGHT,FAST,TOP_TO_BOTTOM,CENTER,FINGERTIP,,short path
27,trial_000027,operator_03,session_01,20261021,PAT,NORMAL,MEDIUM,,CENTER,PALM,3,nearby pulses
28,trial_000028,operator_03,session_01,20261021,IMPACT,FIRM,,,CENTER,FOCUSED,,single safe impact
29,trial_000029,operator_03,session_01,20261021,RUB,NORMAL,MEDIUM,VERTICAL,CENTER,FINGERTIP,2,two return cycles
30,trial_000030,operator_03,session_01,20261021,IMPACT,NORMAL,,,CENTER,BROAD,,single safe impact
31,trial_000031,operator_03,session_01,20261021,STROKE,LIGHT,MEDIUM,BOTTOM_TO_TOP,CENTER,FINGERTIP,,medium path
32,trial_000032,operator_03,session_01,20261021,TAP,NORMAL,,,TOP_LEFT,FINGERTIP,,single contact
33,trial_000033,operator_03,session_01,20261021,STROKE,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,FINGERTIP,,long path
34,trial_000034,operator_03,session_01,20261021,POKE,NORMAL,,,CENTER,FINGERTIP,,clear inward pressure
35,trial_000035,operator_03,session_01,20261021,STATIC_TOUCH,NORMAL,MEDIUM,,CENTER,PALM,,medium duration
